transectid,reef_name,lat,lng,Dist_name,Algae,Hard corals,Other,Soft Coral
10001,Opal Reef,-16.18905564,145.8981158,No disturbance,0.21767533380567883,0.2610124897562354,0.156795967930442,0.3645162085076437
10002,Opal Reef,-16.18928502,145.89825266,No disturbance,0.24402793053245447,0.23354338317859552,0.06861843947834517,0.45381024681060483
10003,Opal Reef,-16.17576777,145.89167636,No disturbance,0.18516219170225678,0.4882687054179474,0.1662504193079386,0.16031868357185722
12001,Ribbon Reef 10,-14.922762,145.699678,No disturbance,0.19621607526369775,0.6199789658190049,0.045806668440192995,0.1379982904771044
12005,Yonge Reef,-14.57094105,145.61583426,No disturbance,0.2133990345545522,0.2868594317983937,0.4845480847124133,0.015193448934640873
12025,Day Reef,-14.5069183129508,145.562157472613,No disturbance,0.5642755533745792,0.38851019788435154,0.0013091002865466986,0.04590514845452258
12026,Day Reef,-14.4825543836519,145.545321162804,No disturbance,0.47593551039149745,0.4409571806386365,0.02691496200506593,0.056192346964800105
12027,Day Reef,-14.4704619794969,145.529772480814,No disturbance,0.29140830598943557,0.4246730335737194,0.2213011082397094,0.06261755219713563
12028,Yonge Reef,-14.578986251661,145.623935535583,No disturbance,0.5046653511703211,0.4261785941960882,0.009654891374542581,0.059501163259048154
12029,Ribbon Reef 10,-14.66261691,145.66509909,No disturbance,0.2930468979765194,0.3091889769262974,0.35971350920885276,0.03805061588833048
12030,Ribbon Reef 10,-14.936288,145.684531,No disturbance,0.11508937369041017,0.42862180263526234,0.22323855593917838,0.2330502677351491
12033,Ribbon Reef 9,-14.9648077777778,145.711024444444,No disturbance,0.3513340500582234,0.3291283423492952,0.006575724422985346,0.3129618831694961
12034,Ribbon Reef 10,-14.9407900962637,145.69514751431,No disturbance,0.16404962116839333,0.3934554697027192,0.0964824889612365,0.34601242016765094
12035,Ribbon Reef 10,-14.67002292,145.67081607,No disturbance,0.46537744523833763,0.3336719371678358,0.07002144019039214,0.1309291774034344
12036,Ribbon Reef 5,-15.380953,145.792858,No disturbance,0.6002063192591156,0.2562330151128228,0.014841835500020845,0.12871883012804075
12037,15041 Reef,-15.4029912036018,145.76590871438,No disturbance,0.301266762112887,0.40110803739887047,0.13500465797817382,0.16262054251006874
12038,Ribbon Reef 5,-15.339338,145.788152,No disturbance,0.3672972565561527,0.32128941306824027,0.025667811301739563,0.28574551907386747
14001,Norman Reef,-16.4188347222222,145.996981111111,No disturbance,0.3231985181500596,0.3263487277915056,0.10665658078422276,0.243796173274212
14005,Opal Reef,-16.2457630555556,145.875548888889,No disturbance,0.27060600476082486,0.4056766873942704,0.17041237798748038,0.15330492985742442
14006,Opal Reef,-16.2375994444444,145.900036388889,No disturbance,0.28524634870340343,0.30727018224617325,0.046885177215914044,0.36059829183450925
14007,Opal Reef,-16.2024463888889,145.901140833333,No disturbance,0.2663772598456087,0.34940746473542544,0.07601345170459457,0.3082018237143713
14009,St. Crispin Reef,-16.1302583333333,145.806581666667,No disturbance,0.19261987569728975,0.3340542183935071,0.24359881932583496,0.22972708658336827
14010,St. Crispin Reef,-16.1172483333333,145.8610025,No disturbance,0.35266252637166945,0.24636009692581953,0.024184629099544,0.37679274760296705
14011,St. Crispin Reef,-16.0714163888889,145.844619722222,No disturbance,0.32568493693144807,0.2421767163025923,0.04295610408239577,0.3891822426835639
14013,Agincourt Reef 5,-16.0433,145.835685,No disturbance,0.11661493048886389,0.5019272876136177,0.2045822394999869,0.17687554239753145
14014,Agincourt Reef 5,-16.04078,145.840774722222,No disturbance,0.1816961434649932,0.409406950275219,0.2577194502533146,0.15117745600647325
14015,Agincourt Reef 2b,-16.029684,145.855721,No disturbance,0.19097128514108092,0.38921518384307213,0.2058652313864226,0.21394829962942433
14016,Agincourt Reef 4,-15.9545977777778,145.834728333333,No disturbance,0.5208827566143515,0.3186846276752557,0.01010588896639972,0.15032672674399314
14017,Agincourt Reef 4,-15.9271536111111,145.829986388889,No disturbance,0.19385104949164056,0.36221452663771003,0.2485768384074851,0.19535758546316428
14018,Agincourt Reef 4,-15.9663372222222,145.82724,No disturbance,0.32655105750823854,0.43209433837501904,0.12320799983270694,0.11814660428403548
14019,Norman Reef,-16.4327702777778,145.986856666667,No disturbance,0.23576942781726726,0.40402816152523313,0.15237859340199508,0.20782381725550453
15001,Great Detached Reef,-11.8433190509502,144.029270829599,No disturbance,0.34235544871809565,0.3865556291284005,0.12584527404544696,0.14524364810805687
15003,Great Detached Reef,-11.7470787094122,144.107654951492,No disturbance,0.2633485816609479,0.3467549862079196,0.027596032400243917,0.36230039973088857
15004,Great Detached Reef,-11.6571291535752,144.007547451193,No disturbance,0.3499418702178255,0.3796477141336397,0.2258409243438347,0.044569491304700046
15006,Saunders Reef,-11.5120794,144.09589891,No disturbance,0.336292210665778,0.516508358965952,8.463906511738991e-4,0.14635303971709598
15007,Saunders Reef,-11.50133479,144.0328499,No disturbance,0.4875794460992614,0.4267528410228212,0.018388746902428747,0.06727896597548871
15008,Saunders Reef,-11.43203076,144.04966475,No disturbance,0.27869112582541133,0.587999547290939,0.015382092363121828,0.11792723452052792
15012,Mantis Reef,-12.24271873,143.92785973,No disturbance,0.5088124988221528,0.44875153056957834,6.046655637819904e-4,0.04183130504448678
15013,Mantis Reef,-12.21100098,143.94910452,No disturbance,0.1517390726763667,0.3708537757642054,0.09515429367002327,0.38225285788940466
15014,Tijou Reef,-13.07205937,143.94294024,No disturbance,0.15006097716006617,0.39418395544031104,0.40607166926624433,0.04968339813337843
