transectid,reef_name,lat,lng,Dist_name,Algae,Hard corals,Other,Soft Coral
10001,Opal Reef,-16.194954,145.894631,1 cyclone & 1 bleaching,0.39959858671660053,0.4663722707733602,0.023745101252236625,0.11028404125780267
10002,Opal Reef,-16.188438,145.898214,1 cyclone & 1 bleaching,0.4522653448004791,0.449743466106272,0.008057336064492642,0.08993385302875628
10003,Opal Reef,-16.175544,145.891036,1 cyclone & 1 bleaching,0.165627995814613,0.349550751101101,0.4071109113219548,0.07771034176233113
12004,Yonge Reef,-14.62343,145.622078,2 cyclones & 1 bleaching,0.5098154913203102,0.22815766901867915,0.07087045162366047,0.19115638803735016
12005,Yonge Reef,-14.582203,145.611397,2 cyclones & 1 bleaching,0.4122535769895949,0.2190029732816647,0.30497990253574386,0.06376354719299648
12025,Day Reef,-14.507488,145.562173,2 cyclones & 1 bleaching,0.588780300150779,0.3092867490105628,8.911322489807533e-4,0.10104181858967744
12026,Day Reef,-14.48375,145.546814,2 cyclones & 1 bleaching,0.6733615375229632,0.22141598807575996,0.011849991762366736,0.09337248263891003
12027,Day Reef,-14.469773,145.53026500000001,2 cyclones & 1 bleaching,0.5112141181778315,0.29190158701403374,0.07700821439245827,0.1198760804156765
12028,Yonge Reef,-14.590222,145.632845,2 cyclones & 1 bleaching,0.6884294084198027,0.25884848740817873,0.00434777954919675,0.04837432462282181
12030,Ribbon Reef 10,-14.928667,145.687323,2 cyclones & 1 bleaching,0.37967630523553225,0.27846330031349426,0.004181217353806472,0.33767917709716705
12033,Ribbon Reef 9,-14.95714,145.702708,2 cyclones & 1 bleaching,0.6174003969581722,0.2484453488917831,0.03676035661385845,0.09739389753618627
12034,Ribbon Reef 10,-14.941331,145.694133,2 cyclones & 1 bleaching,0.41343284569566524,0.27057728644049,0.015433029203317877,0.3005568386605268
12036,Ribbon Reef 5,-15.391239,145.77938,2 cyclones & 1 bleaching,0.4989692622365135,0.33252151576241007,0.001898274013898257,0.16661094798717813
12037,15041 Reef,-15.397007,145.767806,2 cyclones & 1 bleaching,0.5196642504226381,0.32329389615679544,0.011094102323999527,0.14594775109656696
12038,Ribbon Reef 5,-15.342536,145.788465,2 cyclones & 1 bleaching,0.6392628906846368,0.28215182179927245,0.006334669807772515,0.07225061770831817
14001,Norman Reef,-16.42447,146.006006,1 cyclone & 1 bleaching,0.3396681790491259,0.5110024495310335,0.020257258309267428,0.12907211311057332
14005,Opal Reef,-16.241454,145.868199,1 cyclone & 1 bleaching,0.1451485120965358,0.5290648203116876,0.15315118305562955,0.17263548453614708
14006,Opal Reef,-16.238113,145.901255,1 cyclone & 1 bleaching,0.42783747399236827,0.33501772557668646,0.014782203623634286,0.22236259680731102
14007,Opal Reef,-16.208799,145.90805,1 cyclone & 1 bleaching,0.5375175067577974,0.3512371979097747,0.012786969524256786,0.09845832580817108
14009,St. Crispin Reef,-16.128966,145.807023,1 cyclone & 1 bleaching,0.19241556887136724,0.49618090490522215,0.14028210158497137,0.17112142463843924
14010,St. Crispin Reef,-16.118517,145.860743,1 cyclone & 1 bleaching,0.4639254664222186,0.36938811425638696,0.0037228273875698414,0.1629635919338246
14011,St. Crispin Reef,-16.080696,145.858248,1 cyclone & 1 bleaching,0.42209030977752526,0.4240114848426646,0.021107188420406882,0.13279101695940326
14013,Agincourt Reef 5,-16.038536,145.831721,1 cyclone & 1 bleaching,0.30793039089196245,0.5263490823311006,0.08036846127033503,0.085352065506602
14014,Agincourt Reef 5,-16.042232,145.839771,1 cyclone & 1 bleaching,0.3496379208037364,0.4811358478117568,0.06671851438473946,0.10250771699976738
14015,Agincourt Reef 2b,-16.028926,145.862216,1 cyclone & 1 bleaching,0.2651912360808241,0.3098046471684601,0.3116424764473164,0.11336164030339932
